
delegado 163;1723539999;6.1
delegado 164;1945251699;6.3
delegado 165;2343087900;23.5
delegado 166;2276282899;24.0
delegado 167;1929609700;6.1
delegado 168;1787423200;2.4
delegado 169;1636512701;7.5
delegado 170;1836431900;5.7
delegado 171;1931218799;6.9
delegado 172;2221253000;6.6
delegado 173;2054542500;5.9
delegado 174;2000572400;4.8
delegado 175;2078969801;8.6
delegado 176;1940307800;2.6
delegado 177;2056827400;6.2
delegado 178;2244137799;2.5
delegado 179;1913826400;7.7
delegado 180;1857894299;2.4
delegado 181;1761642500;6.8
delegado 182;1903751000;4.2
delegado 183;2098621000;5.6
delegado 184;1822699199;13.4
delegado 185;1736655500;11.0
delegado 186;1895258900;5.8
delegado 187;1760038199;7.8
delegado 188;1731979000;1.2
delegado 189;1705029700;9.8
delegado 190;2148934200;5.2
delegado 191;2086045199;6.2
delegado 192;2216587900;6.9
delegado 193;2103483400;7.8
delegado 194;2093994400;3.4
delegado 195;2015000800;4.7
delegado 196;1900641600;10.8
delegado 197;2080135599;2.9
delegado 198;2004087499;5.8
delegado 199;2051375900;3.5
delegado 200;2076126900;5.1
delegado 201;2014222601;5.8
delegado 202;1993893399;6.2
delegado 203;1800626400;5.2
delegado 204;2088834700;5.8
delegado 205;2248320299;5.5
delegado 206;1729341600;6.2
delegado 207;1650520500;6.5
delegado 208;1796076100;6.0
delegado 209;2057926700;3.8
delegado 210;1688181900;8.9
delegado 211;1998426900;5.9
delegado 212;1741525201;14.1
delegado 213;1786683300;3.8
delegado 214;1779020900;11.1
delegado 215;2004943100;5.1
delegado 216;2025451101;8.8
delegado 217;1965030200;4.9
delegado 218;1993015001;3.8
delegado 219;1885131500;9.2
delegado 220;1681417501;7.4
delegado 221;1637635100;6.2
delegado 222;1719454000;2.4
delegado 223;2196101600;8.9
delegado 224;2114981099;1.8
delegado 225;1843910700;7.0
delegado 226;2251734600;0.8
delegado 227;1894997200;11.3
delegado 228;1943997600;2.5
delegado 229;2053725201;6.6
delegado 230;1941141200;3.1
delegado 231;1923481300;6.6
delegado 232;1688851401;5.7
delegado 233;2004851100;5.2
delegado 234;1961396400;2.7
delegado 235;1651381400;9.1
delegado 236;1629199400;2.2
delegado 237;2161244299;7.8
delegado 238;2180916701;3.2
delegado 239;2087856100;8.8
delegado 240;1911085799;2.4
delegado 241;2031408201;7.1
delegado 242;2034013900;3.9
delegado 243;2154092800;5.3
delegado 244;2041582100;2.4
delegado 245;1908594200;20.6
delegado 246;1982188200;2.8
delegado 247;2166558601;3.3
delegado 248;2035461700;3.6
delegado 249;2032190101;6.3
delegado 250;2055323099;3.2
delegado 251;1962430801;10.3
delegado 252;1960930700;1.8
delegado 253;2114197201;8.6
delegado 254;1866969801;2.2
delegado 255;1752874900;8.7
delegado 256;1786444500;4.9
delegado 257;1699020300;10.4
delegado 258;1753307000;2.6
delegado 259;1788758899;8.4
delegado 260;1903811900;2.5
delegado 261;2090642600;7.3
delegado 262;2085219200;1.9
delegado 263;1928373800;7.6
delegado 264;1963482099;0.8
delegado 265;1700587500;7.8
delegado 266;2003934300;3.1
delegado 267;2121893300;10.7
delegado 268;1803902300;3.1
delegado 269;1740741200;7.3
delegado 270;1904987499;0.4
delegado 271;1971851401;10.9
delegado 272;1810070200;7.7
delegado 273;2060779500;9.2
delegado 274;2062751100;3.1
delegado 275;1905368599;6.5
delegado 276;1917709599;16.2
delegado 277;1662731500;6.4
delegado 278;1890981599;8.3
delegado 279;1894858801;2.2
delegado 280;1940998800;6.5
delegado 281;1960159999;10.0
delegado 282;1632729900;11.8
delegado 283;1685538200;0.8
delegado 284;1645112800;6.7
delegado 285;1652900900;1.9
delegado 286;2094678100;6.1
delegado 287;2445753199;4.1
delegado 288;2017500101;15.1
delegado 289;1687939200;9.3
delegado 290;2107910099;6.4
delegado 291;1933685900;11.6
delegado 292;1809158301;7.4
delegado 293;1970027699;5.1
delegado 294;1893903200;8.7
delegado 295;1863281300;1.4
delegado 296;1865123800;5.5
delegado 297;1779065799;0.0
delegado 298;2117007500;5.3
delegado 299;2049008700;1.5
delegado 300;1929585501;6.6
delegado 301;1739222700;5.8
delegado 302;1746481000;8.2
delegado 303;1749930900;4.7
delegado 304;1767218300;9.5
delegado 305;1928835801;2.0
delegado 306;2098971701;8.7
delegado 307;2012889900;2.7
delegado 308;1857957400;5.1
delegado 309;1939892600;2.4
delegado 310;1916112899;7.4
delegado 311;1903461000;3.4
delegado 312;1847374599;8.1
delegado 313;1730205700;1.7
delegado 314;1721928000;5.8
delegado 315;2114088901;1.6
delegado 316;1945035799;10.7
